"date","state","Total number of new cases in 7 days to reach circuit breaker","Average daily cases to reach circuit breaker","Total number of new hospitalizations in 7 days to reach circuit breaker","Average daily hospitalizations to reach circuit breaker","Total Beds","Open Beds (HHS Data)","Open Beds","Total ICU Beds","Open ICU Beds","Average New Daily Cases","New Cases Yesterday (State)","Average daily cases to reach ICU circuit breaker","casethresholdpct","Percent Occupied (State Nowcast)","Percent Occupied (State HHS Data)","ICU Percent Occupied","At Threshold?","At ICU Threshold?","Category","ICU Category","Warning"
2022-09-27,"HI",7001.835,1000.26214285714,662.112056737589,94.5874366767984,2049,549,542.112056737589,211,74,153.285714285714,0,2990.08125,15.3245542061474,73.5426033803031,77.8360920468308,64.9289099526066,"No","No","Has Capacity","Has Capacity",
2022-09-27,"IA",25915.6040405496,3702.22914864994,1923.75959041297,274.822798630424,5068.9,2421,1703.75959041297,546,168,334.714285714286,633,5792.60839160839,9.04088516066984,66.3879818025022,65.6254437029675,69.2307692307692,"No","No","Has Capacity","Has Capacity",
2022-09-27,"ID",6934.39801891262,990.628288416089,558.472146123412,79.7817351604874,2038.4,720,434.472146123412,248,67,190.857142857143,314,4240.66321044547,19.2662722323732,78.6856286242439,73.3333333333333,72.9838709677419,"No","No","Has Capacity","Has Capacity",
2022-09-27,"IL",112461.824443308,16065.9749204726,7364.75651753898,1052.10807393414,21586.8,7766,6363.75651753898,3079,1135,2352.71428571429,3666,55694.8571428572,14.6440804081939,70.5201488060343,71.8388512165935,63.1373822669698,"No","No","Has Capacity","Has Capacity",
2022-09-27,"IN",54643.2058307409,7806.17226153441,4029.03968023275,575.577097176108,12279.5,4273,3622.03968023275,2046,640,660.714285714286,1202,17395.8910421016,8.46399827697901,70.5033618613726,71.7655609885027,68.7194525904203,"No","No","Has Capacity","Has Capacity",
2022-09-27,"KS",51262.7660377358,7323.25229110512,2609.91988472622,372.845697818032,6083.5,3342,2397.91988472622,796,219,397,0,8583.33962264151,5.42108866687823,60.5832187930266,58.8271528889984,72.4874371859297,"No","No","Has Capacity","Has Capacity",
2022-09-27,"KY",34861.0756078984,4980.1536582712,2544.12277245235,363.446110350335,9631.7,2516,2085.12277245235,1344,267,644.571428571429,338,9063.09253701481,12.9428020258151,78.3514564152502,78.2541054451167,80.1339285714286,"No","No","Has Capacity","Has Capacity",
2022-09-27,"LA",35167.9428519949,5023.99183599927,2862.95808469714,408.994012099592,9352.2,3504,2455.95808469714,1458,380,496.857142857143,798,11846.9557420466,9.8896885002266,73.7392476134263,71.0485003718086,73.9368998628258,"No","No","Has Capacity","Has Capacity",
2022-09-27,"MA",26102.7642857143,3728.96632653061,2435.17569968903,347.882242812718,13514.5,2058,1595.17569968903,1211,181,1466.71428571429,0,12402.9700532387,39.3329989407252,88.1965614733137,87.1815633758954,85.0536746490504,"No","No","Has Capacity","Has Capacity",
2022-09-27,"MD",25871.9606419971,3695.99437742815,1817.93595259662,259.705136085231,7352.1,2042,1365.93595259662,1264,370,818.571428571429,1700,16996.7048742801,22.1475290539005,81.4211456237453,80.3917802957557,70.7278481012658,"No","No","Has Capacity","Has Capacity",
